pi_par, 10000000000, 1, 52.672683, 3.141593
pi_par, 10000000000, 1, 52.664391, 3.141593
pi_par, 10000000000, 1, 52.667406, 3.141593
pi_par, 10000000000, 2, 26.350554, 3.141593
pi_par, 10000000000, 2, 26.351055, 3.141593
pi_par, 10000000000, 2, 26.356625, 3.141593
pi_par, 10000000000, 4, 13.286427, 3.141593
pi_par, 10000000000, 4, 13.186932, 3.141593
pi_par, 10000000000, 4, 13.313300, 3.141593
pi_par, 10000000000, 8, 7.058679, 3.141593
pi_par, 10000000000, 8, 6.996199, 3.141593
pi_par, 10000000000, 8, 6.897295, 3.141593
pi_par, 10000000000, 16, 4.086436, 3.141593
pi_par, 10000000000, 16, 3.801393, 3.141593
pi_par, 10000000000, 16, 4.016960, 3.141593
pi_par, 10000000000, 32, 2.540823, 3.141593
pi_par, 10000000000, 32, 2.644720, 3.141593
pi_par, 10000000000, 32, 2.530630, 3.141593
pi_par, 10000000000, 64, 1.764423, 3.141593
pi_par, 10000000000, 64, 1.792209, 3.141593
pi_par, 10000000000, 64, 1.793097, 3.141593
Variant_A,10000000,1,0.613210,3.141593
Variant_A,10000000,1,0.608357,3.141593
Variant_A,10000000,1,0.614355,3.141593
Variant_A,10000000,2,4.311931,3.141593
Variant_A,10000000,2,2.737079,3.141593
Variant_A,10000000,2,3.363227,3.141593
Variant_A,10000000,4,6.589537,3.141593
Variant_A,10000000,4,7.240309,3.141593
Variant_A,10000000,4,7.281959,3.141593
Variant_A,10000000,8,10.740255,3.141593
Variant_A,10000000,8,10.538134,3.141593
Variant_A,10000000,8,14.601570,3.141593
Variant_A,10000000,16,19.802943,3.141593
Variant_A,10000000,16,19.712734,3.141593
Variant_A,10000000,16,18.776511,3.141593
Variant_A,10000000,32,33.628366,3.141593
Variant_A,10000000,32,35.712449,3.141593
Variant_A,10000000,32,32.874396,3.141593
Variant_A,10000000,64,96.103286,3.141593
Variant_A,10000000,64,77.654725,3.141593
Variant_A,10000000,64,81.590873,3.141593
Variant_B,1000000000,1,5.595677,3.141593
Variant_B,1000000000,1,5.557104,3.141593
Variant_B,1000000000,1,5.569250,3.141593
Variant_B,1000000000,2,2.768560,3.141593
Variant_B,1000000000,2,2.793667,3.141593
Variant_B,1000000000,2,2.785892,3.141593
Variant_B,1000000000,4,1.397886,3.141593
Variant_B,1000000000,4,1.403650,3.141593
Variant_B,1000000000,4,1.429250,3.141593
Variant_B,1000000000,8,0.791795,3.141593
Variant_B,1000000000,8,0.706788,3.141593
Variant_B,1000000000,8,0.775749,3.141593
Variant_B,1000000000,16,0.421964,3.141593
Variant_B,1000000000,16,0.531609,3.141593
Variant_B,1000000000,16,0.386926,3.141593
Variant_B,1000000000,32,0.325057,3.141593
Variant_B,1000000000,32,0.314024,3.141593
Variant_B,1000000000,32,0.311375,3.141593
Variant_B,1000000000,64,0.237732,3.141593
Variant_B,1000000000,64,0.233981,3.141593
Variant_B,1000000000,64,0.220120,3.141593
pi_par_loop,1000000000,1,5.624380,3.141593
pi_par_loop,1000000000,1,5.616152,3.141593
pi_par_loop,1000000000,1,5.623403,3.141593
pi_par_loop,1000000000,2,2.776255,3.141593
pi_par_loop,1000000000,2,2.800973,3.141593
pi_par_loop,1000000000,2,2.789795,3.141593
pi_par_loop,1000000000,4,1.394705,3.141593
pi_par_loop,1000000000,4,1.400861,3.141593
pi_par_loop,1000000000,4,1.417396,3.141593
pi_par_loop,1000000000,8,0.823076,3.141593
pi_par_loop,1000000000,8,0.773444,3.141593
pi_par_loop,1000000000,8,0.851946,3.141593
pi_par_loop,1000000000,16,0.402379,3.141593
pi_par_loop,1000000000,16,0.452819,3.141593
pi_par_loop,1000000000,16,0.398011,3.141593
pi_par_loop,1000000000,32,0.317407,3.141593
pi_par_loop,1000000000,32,0.288989,3.141593
pi_par_loop,1000000000,32,0.332782,3.141593
pi_par_loop,1000000000,64,0.212384,3.141593
pi_par_loop,1000000000,64,0.232668,3.141593
pi_par_loop,1000000000,64,0.219671,3.141593
